Type;Line;Space;ID;Origin;InitialOrigin;Reference1;Reference2;Reference3;Tags;Roles;MaxUnauthorised;NumberReference1;NumberReference2;NumberReference3
Image;0;14;a2974cd1-4b14-4fb1-959e-d20a8fd337e3;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/1_1.jpg;;kalktekeningen;AA013886;;;;-1;0;;
Image;1;14;08d36dd7-8704-4814-9438-dda213807bd5;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/1_2.jpg;;kalktekeningen;AA013886;;;;-1;1;;
Image;2;14;b1e9940a-31f3-4272-9f6e-ed654e9cdaee;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/1A.jpg;;kalktekeningen;AA013886;;;;-1;2;;
Image;3;14;37434317-2506-4ce5-9ca3-32d02413505a;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/1E.jpg;;kalktekeningen;AA013886;;;;-1;3;;
Image;4;14;daaf6f4c-47f8-4654-abd4-ed478e9cfae8;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2_1.jpg;;kalktekeningen;AA013886;;;;-1;4;;
Image;5;14;04fe9232-c0e4-4cba-acb0-e532fb480313;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2_2.jpg;;kalktekeningen;AA013886;;;;-1;5;;
Image;6;14;eb078255-6699-4ae3-9683-ebb1b35bfb2d;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2_3.jpg;;kalktekeningen;AA013886;;;;-1;6;;
Image;7;14;9800067f-c0ef-4092-b0c7-0029c95cc02f;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2_4.jpg;;kalktekeningen;AA013886;;;;-1;7;;
Image;8;14;b97aa17e-3752-4113-bc93-a029b7b9f666;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2_5.jpg;;kalktekeningen;AA013886;;;;-1;8;;
Image;9;14;6ab4cf03-9d27-4f5d-8f7b-654f99046720;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/2E.jpg;;kalktekeningen;AA013886;;;;-1;9;;
Image;10;14;69bf3ad0-1070-4eed-89d7-c2d634bde085;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/3_1.jpg;;kalktekeningen;AA013886;;;;-1;10;;
Image;11;14;11cd228b-f653-48fc-89bb-b989078997e4;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/3_2.jpg;;kalktekeningen;AA013886;;;;-1;11;;
Image;12;14;539c7781-fed5-46fb-9479-3b116b19f2bb;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/3_3.jpg;;kalktekeningen;AA013886;;;;-1;12;;
Image;13;14;164b97c4-7fc3-4391-a85d-bb46e2e8ef1f;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/3E.jpg;;kalktekeningen;AA013886;;;;-1;13;;
Image;14;14;6f957c33-ae39-46e9-a532-5bfe87960075;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/4_1.jpg;;kalktekeningen;AA013886;;;;-1;14;;
Image;15;14;5fc2d1bf-b235-477a-8f6b-69eb84a2fcf7;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/4_2.jpg;;kalktekeningen;AA013886;;;;-1;15;;
Image;16;14;e81c0b5c-f1cd-4b8c-a4fd-a4fd0cf140cc;https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA013886/4_3.jpg;;kalktekeningen;AA013886;;;;-1;16;;
