,uuid,url,filename,folder,building
0,697033cb-b8f1-49f2-9c64-8985f024ad18,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/513.jpg,513,AA270875,00-22.48
1,2a0bebd5-5c70-408a-97ed-a04383b38196,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%201A.jpg,Blad 1A,AA270875,00-22.48
2,2ecef8cb-357c-4232-9d3a-d4ce60bd8164,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%202.jpg,Blad 2,AA270875,00-22.48
3,d781020f-b9ab-410a-a7e5-b08d7f210163,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%203.jpg,Blad 3,AA270875,00-22.48
4,b88531ae-21dd-4a55-8dc7-2f467d893828,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%204.jpg,Blad 4,AA270875,00-22.48
5,3e7b9d45-fcbe-4cc2-ac9c-83df594dffbc,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%205.jpg,Blad 5,AA270875,00-22.48
6,3a008801-59a0-4e72-a7c3-2c9d0ff4d8b3,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%206.jpg,Blad 6,AA270875,00-22.48
7,dc9a35f4-92c6-43e0-88e3-805312592ca2,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%207.jpg,Blad 7,AA270875,00-22.48
8,d7ebacf4-3a63-4a65-8cdb-54f5985c7b16,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%208.jpg,Blad 8,AA270875,00-22.48
9,82a86b3d-ea88-4cc5-9518-c4ab54d28e20,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%209.jpg,Blad 9,AA270875,00-22.48
10,f63cdba2-538e-4c55-ac6a-fb6c9bd97dbd,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2010.jpg,Blad 10,AA270875,00-22.48
11,cfc28868-3a98-443b-8eee-2f14ed2fdaf2,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2011.jpg,Blad 11,AA270875,00-22.48
12,554c290e-e5fd-4103-89b6-eb2303a3ed44,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2012.jpg,Blad 12,AA270875,00-22.48
13,167eae42-f66d-4e88-a45c-3df0b20af9e9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2013.jpg,Blad 13,AA270875,00-22.48
14,f4f7d187-01a4-4c0d-8fc9-642595cb10b8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2014.jpg,Blad 14,AA270875,00-22.48
15,2de712d2-e0ec-43a2-9cc9-cb2c3ba03b5c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2015.jpg,Blad 15,AA270875,00-22.48
16,6c125e9d-4ce5-43c1-979f-032b6ddbc706,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2016.jpg,Blad 16,AA270875,00-22.48
17,bed565c0-3ad7-428e-8476-f53d6c5bd752,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/diensten/cre/technisch-informatiebeheer/kalktekeningen-compleet/JPEG/AA270875/Blad%2017.jpg,Blad 17,AA270875,00-22.48
